PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
7753,Not Applicable,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7755,Not Applicable,Same,1,55 to 64 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
7756,Increase,Increase,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7757,Not Applicable,Same,1,45 to 54 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7758,Same,Same,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,No,Increase,No,Yes,Increase,No
7759,Not Applicable,Not Applicable,2,75 years and older,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Not Applicable,No
7760,Not Applicable,Not Applicable,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7762,Same,Same,2,25 to 34 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
7763,Decrease,Decrease,3,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Decrease,No,No,Increase,No,Yes,Decrease,Yes
7764,Same,Same,1,25 to 34 years old,Single/Never married,Trade certificate or diploma,Female,Urban,Not More,Same,No,No,Same,No,No,Decrease,No
7765,Same,Increase,2,65 to 74 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
7766,Increase,Increase,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Male,Urban,More,Same,No,No,Increase,No,No,Increase,No
7767,Not Applicable,Not Applicable,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
7768,Same,Same,3,55 to 64 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7769,Same,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,University certificate or diploma below the bachelor’s level,Male,Urban,Not More,Increase,Yes,Yes,Increase,No,Yes,Increase,Yes
7770,Increase,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Increase,No,Yes,Increase,No,Yes,Increase,No
7771,Same,Increase,1,25 to 34 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,Yes,Yes,Increase,No,Yes,Not Applicable,Yes
7772,Not Applicable,Same,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Same,Yes
7773,Increase,Increase,2,35 to 44 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
7774,Same,Increase,1,25 to 34 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,Yes
7775,Same,Same,1,65 to 74 years old,Single/Never married,Trade certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
7776,Not Applicable,Same,1,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Not Applicable,No,Yes,Same,No,Yes,Same,Yes
7777,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Not Applicable,No,No,Same,Yes
7778,Same,Same,4+,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7779,Not Applicable,Same,2,55 to 64 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
7780,Same,Increase,1,65 to 74 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
7783,Same,Increase,4,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Increase,No,Yes,Same,No,Yes,Increase,No
7784,Not Applicable,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7785,Increase,Increase,2,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,Not More,Increase,No,No,Same,No,Yes,Same,Yes
7786,Increase,Not Applicable,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
7787,Same,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
7788,Not Applicable,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7789,Same,Same,1,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
7790,Not Applicable,Increase,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,Yes,Yes,Increase,No,Yes,Increase,No
7791,Same,Increase,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Same,No
7792,Same,Same,2,25 to 34 years old,Living common-law,"University certificate, diploma, degree above the BA level",Female,Urban,More,Not Applicable,Yes,Yes,Same,Yes,Yes,Increase,No
7793,Increase,Increase,1,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,No,No,Increase,No,Yes,Same,No
7794,Increase,Increase,2,15 to 24 years old,Single/Never married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Not Applicable,No,Yes,Increase,Yes,No,Increase,No
7795,Same,Increase,2,45 to 54 years old,Living common-law,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Increase,No,No,Same,No,Yes,Same,Yes
7796,Same,Same,2,45 to 54 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Increase,No,No,Same,No,Yes,Same,Yes
7797,Same,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
7798,Same,Same,2,45 to 54 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Same,No,Yes,Increase,No,Yes,Increase,Yes
7799,Not Applicable,Not Applicable,2,75 years and older,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Not Applicable,Yes,Yes,Not Applicable,No,No,Same,No
7800,Same,Same,1,35 to 44 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,Yes,Same,No,Yes,Same,Yes
7802,Increase,Increase,2,25 to 34 years old,Living common-law,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Same,No
7803,Increase,Increase,2,35 to 44 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
7804,Same,Same,2,35 to 44 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,Not More,Same,No,Yes,Same,Yes,Yes,Same,Yes
7805,Increase,Increase,1,35 to 44 years old,Single/Never married,University certificate or diploma below the bachelor’s level,Male,Urban,More,Not Applicable,Yes,Yes,Increase,Yes,Yes,Increase,No
7808,Increase,Increase,1,55 to 64 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,No
7809,Increase,Increase,1,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Same,Yes,Yes,Increase,Yes,Yes,Increase,Yes
7810,Not Applicable,Same,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,Yes,Yes,Same,No,No,Same,No
7811,Not Applicable,Not Applicable,1,75 years and older,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Female,Urban,Not More,Not Applicable,No,Yes,Same,Yes,No,Same,Yes
7812,Increase,Increase,2,35 to 44 years old,Married,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Increase,No,No,Same,No
7813,Increase,Increase,2,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,Yes
7814,Same,Increase,1,35 to 44 years old,Widowed/Separated/Divorced,University certificate or diploma below the bachelor’s level,Female,Urban,More,Same,Yes,Yes,Increase,Yes,Yes,Increase,No
7815,Not Applicable,Same,4,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,Yes,Same,Yes,Yes,Same,No
7817,Not Applicable,Increase,2,45 to 54 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,No,Increase,No,Yes,Increase,Yes
7818,Increase,Increase,1,45 to 54 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Increase,Yes,Yes,Same,No,Yes,Increase,Yes
7819,Decrease,Increase,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Increase,Yes,Yes,Same,Yes,Yes,Decrease,Yes
7820,Decrease,Same,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Same,No,No,Increase,No,Yes,Not Applicable,No
7821,Same,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
7822,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Increase,No,No,Same,No,Yes,Same,No
7823,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Male,Rural,More,Not Applicable,No,No,Not Applicable,No,Yes,Same,Yes
7824,Same,Same,3,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,No,Same,Yes
7825,Same,Same,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7826,Not Applicable,Not Applicable,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,Yes,Not Applicable,No,No,Not Applicable,No
7827,Increase,Increase,3,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
7828,Same,Same,3,65 to 74 years old,Married,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
7829,Same,Same,4,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Same,Yes,Yes,Same,No,Yes,Same,Yes
7830,Same,Same,2,25 to 34 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Same,No,No,Same,No,Yes,Same,No
7831,Not Applicable,Not Applicable,1,45 to 54 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
7832,Same,Same,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7833,Same,Increase,2,15 to 24 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,No,Yes,Same,No,No,Increase,No
7834,Same,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,No,Same,No,Yes,Increase,Yes
7835,Not Applicable,Same,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Same,No
7836,Increase,Increase,2,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Same,No,No,Increase,No,No,Same,Yes
7837,Increase,Increase,2,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Same,No,Yes,Increase,No,Yes,Increase,No
7838,Same,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7839,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7840,Same,Increase,2,55 to 64 years old,Married,Less than high school diploma or its equivalent,Male,Rural,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
7841,Increase,Same,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,No,Same,No
7842,Not Applicable,Not Applicable,2,25 to 34 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,No,Increase,No,Yes,Same,No
7843,Same,Same,2,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Increase,No,No,Same,No,Yes,Same,No
7844,Same,Increase,2,25 to 34 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Increase,Yes,Yes,Increase,No,Yes,Increase,Yes
7845,Increase,Increase,3,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,Yes,Yes,Increase,No,Yes,Same,Yes
7847,Not Applicable,Not Applicable,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
7848,Same,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Same,No,Yes,Same,No,Yes,Same,Yes
7849,Not Applicable,Increase,1,55 to 64 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Decrease,No,No,Increase,No,Yes,Same,Yes
7850,Not Applicable,Increase,4,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Not Applicable,Yes,Yes,Same,No,No,Same,Yes
7851,Same,Increase,4+,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,Yes,Increase,No,Yes,Increase,No
7852,Same,Increase,1,45 to 54 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,More,Same,No,Yes,Increase,No,Yes,Increase,Yes
7853,Not Applicable,Same,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Increase,No,No,Same,No,Yes,Not Applicable,Yes
7854,Not Applicable,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
7855,Decrease,Decrease,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Increase,No,No,Same,No,Yes,Decrease,Yes
7857,Not Applicable,Same,2,65 to 74 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,Yes,Yes,Same,Yes,Yes,Not Applicable,No
7858,Same,Increase,4,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,Yes,Increase,Yes,Yes,Increase,Yes
7859,Decrease,Same,2,45 to 54 years old,Living common-law,Less than high school diploma or its equivalent,Male,Rural,More,Not Applicable,No,Yes,Same,No,Yes,Decrease,No
7860,Not Applicable,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Increase,No
7862,Same,Not Applicable,1,55 to 64 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,No,Not Applicable,No
7863,Same,Same,1,35 to 44 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Same,No,Yes,Same,No,Yes,Same,Yes
7864,Increase,Increase,2,25 to 34 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Increase,Yes
7865,Not Applicable,Not Applicable,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7866,Same,Same,2,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Not Applicable,No,No,Increase,No,Yes,Same,No
7867,Increase,Increase,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Increase,No,Yes,Same,No,No,Same,Yes
7868,Increase,Increase,2,25 to 34 years old,Married,"University certificate, diploma, degree above the BA level",Female,Rural,More,Increase,No,Yes,Increase,No,Yes,Increase,Yes
7869,Same,Same,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Not Applicable,Yes
7870,Same,Increase,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Not Applicable,Yes,Yes,Increase,No,Yes,Increase,Yes
7872,Increase,Increase,2,15 to 24 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,Yes,Increase,No,Yes,Increase,Yes
7873,Same,Same,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,No,Increase,No,No,Increase,No
7874,Same,Same,1,45 to 54 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Rural,Not More,Same,No,No,Same,No,No,Same,Yes
7875,Same,Increase,4,45 to 54 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Increase,No,No,Increase,No,Yes,Same,Yes
7876,Increase,Increase,2,55 to 64 years old,Married,Trade certificate or diploma,Male,Rural,More,Not Applicable,No,No,Increase,No,No,Increase,No
7878,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
7879,Decrease,Decrease,2,45 to 54 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Rural,Not More,Decrease,No,No,Decrease,No,No,Same,No
7880,Increase,Increase,2,35 to 44 years old,Married,Less than high school diploma or its equivalent,Male,Urban,More,Increase,No,Yes,Increase,Yes,Yes,Increase,No
7881,Not Applicable,Increase,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Increase,No,Yes,Same,No,Yes,Same,No
7882,Increase,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Increase,No,Yes,Increase,No,Yes,Increase,No
7883,Same,Increase,2,25 to 34 years old,Married,Less than high school diploma or its equivalent,Female,Urban,Not More,Same,No,Yes,Same,No,Yes,Same,No
7884,Increase,Decrease,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Same,No,No,Same,No,Yes,Increase,Yes
7885,Increase,Increase,4,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
7886,Not Applicable,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,Yes,Yes,Increase,Yes,Yes,Not Applicable,Yes
7888,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Not Applicable,No,No,Not Applicable,No
7889,Increase,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,No,Same,No,Yes,Same,Yes
7890,Same,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Same,No,Yes,Same,No,Yes,Same,Yes
7891,Not Applicable,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,Yes,Yes,Increase,Yes,Yes,Same,No
7892,Not Applicable,Same,2,55 to 64 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7893,Increase,Same,1,45 to 54 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Increase,No,Yes,Not Applicable,No
7894,Not Applicable,Same,2,55 to 64 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,No,Same,No
7895,Same,Same,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7896,Not Applicable,Not Applicable,1,55 to 64 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
7897,Same,Increase,2,35 to 44 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Increase,No,Yes,Increase,Yes,Yes,Increase,No
7898,Not Applicable,Increase,2,75 years and older,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,Yes,Yes,Increase,Yes,Yes,Increase,Yes
7899,Increase,Increase,2,25 to 34 years old,Living common-law,University certificate or diploma below the bachelor’s level,Male,Urban,More,Increase,No,Yes,Increase,Yes,Yes,Increase,Yes
7900,Not Applicable,Not Applicable,1,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
7901,Increase,Increase,1,35 to 44 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Same,Yes
7902,Same,Increase,2,25 to 34 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,No,Same,No,Yes,Increase,Yes
7903,Not Applicable,Increase,2,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Same,Yes,Yes,Same,Yes
7904,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
7905,Increase,Increase,3,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,More,Increase,No,Yes,Increase,No,Yes,Increase,No
7906,Increase,Increase,2,35 to 44 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,Not More,Not Applicable,No,No,Increase,No,Yes,Increase,Yes
7907,Same,Same,2,35 to 44 years old,Married,Trade certificate or diploma,Male,Rural,More,Increase,No,Yes,Same,No,Yes,Increase,No
7908,Increase,Same,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
7909,Same,Increase,2,25 to 34 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
7910,Not Applicable,Same,2,55 to 64 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
7911,Increase,Increase,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Same,No,No,Same,No,Yes,Increase,Yes
7912,Same,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
7913,Same,Increase,1,65 to 74 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Same,No,No,Same,No,No,Increase,No
7914,Same,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,Yes,Same,No,Yes,Same,No
7915,Same,Increase,2,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Increase,No,No,Increase,No,Yes,Same,No
7916,Not Applicable,Not Applicable,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Same,No,Yes,Same,No,Yes,Same,Yes
7917,Not Applicable,Not Applicable,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
7918,Increase,Increase,4,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Rural,More,Increase,No,No,Increase,No,No,Increase,No
7919,Not Applicable,Same,3,45 to 54 years old,Married,High school diploma or a high school equivalency certificate,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
7920,Increase,Increase,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Same,No,No,Same,No,Yes,Increase,Yes
7921,Increase,Increase,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Increase,No,Yes,Increase,No,Yes,Same,No
7922,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,Yes,Yes,Same,Yes,Yes,Same,No
7923,Increase,Increase,1,35 to 44 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Same,No,Yes,Increase,No,Yes,Increase,Yes
7924,Not Applicable,Same,2,75 years and older,Married,High school diploma or a high school equivalency certificate,Male,Rural,More,Same,No,No,Increase,No,No,Increase,No
7925,Same,Increase,4,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
7926,Same,Increase,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Not Applicable,No,Yes,Increase,Yes,Yes,Increase,No
