PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
6392,Same,Increase,1,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Same,No,No,Same,No,Yes,Same,Yes
6393,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,Yes,Yes,Same,No,No,Not Applicable,No
6394,Not Applicable,Not Applicable,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Rural,Not More,Not Applicable,No,No,Same,No,No,Same,No
6396,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6397,Not Applicable,Not Applicable,2,65 to 74 years old,Widowed/Separated/Divorced,University certificate or diploma below the bachelor’s level,Female,Rural,More,Not Applicable,No,No,Increase,No,No,Not Applicable,No
6399,Decrease,Decrease,1,65 to 74 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,No,Same,No,No,Same,No
6400,Not Applicable,Same,2,55 to 64 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Not Applicable,Yes,Yes,Increase,No,Yes,Same,Yes
6401,Same,Same,1,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Rural,More,Not Applicable,No,No,Same,No,Yes,Same,No
6403,Increase,Increase,2,75 years and older,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Increase,No,No,Increase,No,No,Increase,No
6404,Same,Same,2,65 to 74 years old,Married,Trade certificate or diploma,Male,Rural,More,Not Applicable,No,No,Decrease,No,Yes,Increase,No
6405,Increase,Increase,2,35 to 44 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Increase,Yes,Yes,Increase,Yes,Yes,Increase,Yes
6406,Not Applicable,Not Applicable,2,65 to 74 years old,Married,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6407,Not Applicable,Increase,2,65 to 74 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Rural,More,Increase,No,No,Increase,No,Yes,Not Applicable,No
6408,Increase,Increase,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,More,Same,No,Yes,Same,No,No,Same,No
6409,Same,Increase,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Not Applicable,No,No,Increase,No,Yes,Not Applicable,Yes
6410,Same,Increase,2,75 years and older,Married,Less than high school diploma or its equivalent,Male,Urban,Not More,Same,No,No,Increase,No,Yes,Increase,No
6411,Same,Same,2,75 years and older,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Same,No,Yes,Same,No,Yes,Increase,No
6412,Same,Increase,3,15 to 24 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Increase,No,No,Increase,No,Yes,Same,No
6413,Same,Increase,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Urban,More,Not Applicable,No,No,Increase,No,No,Increase,Yes
6414,Not Applicable,Not Applicable,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,Yes
6415,Same,Increase,1,35 to 44 years old,Single/Never married,Trade certificate or diploma,Male,Rural,Not More,Same,No,Yes,Increase,Yes,Yes,Increase,No
6416,Increase,Increase,4,25 to 34 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,More,Increase,Yes,Yes,Increase,Yes,Yes,Increase,No
